Decision Tree,Logistic Regression,RFE
duration,euribor3m,poutcome_success
nr.employed,duration,day_of_week_mon
cons.conf.idx,poutcome_success,education_unknown
contact,cons.conf.idx,education_university.degree
euribor3m,education_illiterate,education_professional.course
age,cons.price.idx,education_high.school
cons.price.idx,month_mar,education_basic.9y
campaign,age,education_basic.6y
education_high.school,default_yes,job_housemaid
day_of_week_mon,housing_unknown,job_blue-collar
day_of_week_thu,loan_unknown,day_of_week_wed
emp.var.rate,job_student,day_of_week_tue
day_of_week_tue,month_dec,day_of_week_thu
education_university.degree,job_unemployed,month_nov
pdays,job_unknown,job_unknown
day_of_week_wed,poutcome_nonexistent,job_unemployed
housing_yes,pdays_no_contact,job_services
education_professional.course,campaign,job_entrepreneur
month_jul,loan_yes,job_self-employed
marital_married,job_technician,contact
education_basic.9y,job_services,month_may
marital_single,job_self-employed,month_jun
job_blue-collar,pdays,month_jul
month_oct,marital_unknown,month_aug
previous,job_retired,default_unknown
job_technician,housing_yes,marital_single
poutcome_nonexistent,month_oct,marital_married
default_unknown,job_entrepreneur,job_technician
loan_yes,month_jun,job_retired
job_management,month_sep,job_management
education_unknown,month_jul,month_sep
job_services,job_management,month_oct
month_nov,default_unknown,month_mar
job_self-employed,education_unknown,loan_yes
education_basic.6y,education_basic.6y,loan_unknown
poutcome_success,job_housemaid,housing_yes
month_aug,marital_single,housing_unknwon
job_housemaid,month_aug, job_unemployed
job_unemployed,day_of_week_wed,job_student
job_retired,previous,previous
month_may,marital_married,emp.var.rate
job_entrepreneur,day_of_week_tue,month_dec
job_student,day_of_week_mon,job_unemployed
month_jun,contact,nr.employed
loan_unknown,month_nov,euribor3m
month_sep,education_basic.9y,cons.conf.idx
pdays_no_contact,education_professional.course,cons.price.idx
month_dec,day_of_week_thu,pdays
job_unknown,month_may,campaign
housing_unknown,job_blue-collar,duration
month_mar,education_university.degree,pdays_no_contact
education_illiterate,marital_unknown,marital_unknown
marital_unknown,emp.var.rate,education_illiterate
default_yes,nr.employed,default_yes